n,m,bf,fw,dp,df
18,17,2.42066,3076.41,144.908,1.95249
18,17,2.45084,3069.5,143.038,1.93264
18,17,2.45843,3016.77,142.48,1.94556
18,17,2.43022,3055.06,145.343,2.08617
18,17,2.51127,3133.9,143.286,2.82876
18,17,2.90601,3037.34,140.692,2.00689
18,17,6.14702,3080.77,262.657,5.03967
18,17,8.79171,3083.77,274.413,4.24095
18,17,6.04148,3082.6,260.774,4.13546
18,17,6.16741,3062.96,259.821,4.5773
18,17,7.23117,3084.26,261.257,4.09583
18,17,5.97908,3090.38,261.646,4.12706
18,17,6.01736,3091.35,262.15,4.09785
18,17,5.97523,3079.25,269.482,8.10329
18,17,5.95503,3088.6,273.464,4.3138
18,17,6.17986,3201.05,263.131,4.20277
18,17,2.96258,3073.04,54.3582,1.74818
18,17,2.99655,3012.37,61.2348,1.70876
18,17,2.96427,2992.8,54.6837,1.71086
18,17,2.94514,3005.54,56.433,1.70122
18,17,2.97177,2950.59,56.1614,1.70338
18,17,3.00181,2960.45,57.5079,1.7668
18,17,2.96188,2919.2,54.5166,1.71331
18,17,3.0004,2953.43,55.1037,1.74239
18,17,2.98438,2930.5,57.6026,1.82125
18,17,3.02361,2978.39,54.4219,1.7109
18,17,3.59814,3049.99,142.576,2.89433
18,17,3.64824,2871.56,145.188,3.04756
18,17,3.62025,2990,148.914,3.23368
18,17,3.77973,3152.94,144.109,3.17866
18,17,3.68168,2959.15,141.395,2.83458
18,17,3.60547,2917.11,147.946,5.30517
18,17,3.71243,2934.86,150.509,3.05543
18,17,3.63407,3029.24,146.078,2.95036
18,17,3.66428,3059.27,143.46,2.94447
18,17,4.99539,3045.83,193.884,3.03936
18,17,3.07702,3423.45,158.417,1.88963
18,17,3.12926,2961.62,158.916,1.89609
18,17,3.10695,3213.78,157.05,1.86012
18,17,3.03545,2990.64,154.638,1.9536
18,17,3.01465,2919.56,158.053,1.86424
18,17,3.02456,3050.61,157.645,1.97762
18,17,3.03985,3057.93,155.217,1.92028
18,17,3.10906,3007.3,158.523,1.88959
18,17,3.04941,2886.68,154.488,1.84971
18,17,3.16514,2993.59,161.51,1.95104
18,17,2.45721,3120.59,113.729,2.55703
18,17,2.78959,3045.43,111.18,2.12248
18,17,2.49424,3026.52,109.637,2.08053
18,17,2.49683,3007.46,110.95,2.17822
18,17,2.49034,3111.67,110.765,2.13867
18,17,2.44493,3069.78,109.315,2.10699
18,17,2.47432,3033.43,110.789,2.16915
18,17,2.47246,3049.63,109.819,2.45308
18,17,2.85011,3039.26,113.021,2.10994
18,17,2.52261,3035.62,109.117,2.12266
18,17,3.38329,3101.9,219.907,2.69089
18,17,3.7554,2983.51,220.788,2.56429
18,17,3.42663,2946.77,231.258,2.57495
18,17,3.44223,2978.45,229.048,2.63809
18,17,3.41823,3068.81,226.633,2.63189
18,17,3.49227,2998.18,220.436,2.78092
18,17,3.65996,2976.65,223.699,2.63214
18,17,3.43493,3062.68,223.757,2.62886
18,17,3.46845,3025.71,224.926,2.59083
18,17,4.64932,3040.23,220.362,2.54846
18,17,3.89388,3048.54,174.115,3.37739
18,17,4.01783,3058.96,162.823,2.99557
18,17,3.78626,2928.53,164.327,3.03338
18,17,3.89164,2872.21,165.878,3.0825
18,17,6.22115,3077.51,167.134,3.50539
18,17,4.1638,3127.25,164.056,3.0473
18,17,3.76394,2988.41,165.116,3.00454
18,17,3.74079,2960.67,168.819,3.12569
18,17,3.76894,2936.87,164.795,3.17727
18,17,3.87825,3115.12,169.348,5.69581
18,17,2.85978,3050.28,194.452,1.58712
18,17,2.83276,3109.23,192.34,1.63035
18,17,2.82177,2969.99,200.105,1.73353
18,17,2.85337,3305.48,196.385,1.65221
18,17,2.8776,2946.28,195.341,2.04353
